Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000075914,EXOSC7,0.12807392311630209,0.24222408781144233,1.0,0.09313548353515042,-0.42615453095619893,1.0,0.222563088704821,1.1038012939209172,0.63040513356392,0.16198604081902682,1.1688433247853722,1.0
ENSG00000163814,CDCP1,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000011376,LARS2,0.035637961214971016,-0.24943469307031396,1.0,0.029411205326889605,-0.1917894679536758,1.0,0.16692231652861575,2.583933821421646,0.3718832202251177,0.0,1.8954669747301196,1.0
ENSG00000144791,LIMD1,0.03118321606309964,-0.8143594405549246,0.6990939794979494,0.029411205326889605,-0.15114748345633,1.0,0.222563088704821,2.981810769542307,0.3110199796086701,0.32397208163805363,3.5873446793677877,1.0
ENSG00000230530,LIMD1-AS1,0.012250549167646287,-0.38693821682024865,1.0,0.014705602663444802,0.5858181107098765,1.0,0.0,1.9624454446753763,1.0,0.0,3.3808938019003616,1.0
ENSG00000211456,SACM1L,0.13475604084410914,-0.46742813468061684,0.7728568422202797,0.14215415907996642,0.0008556099887204738,1.0,0.7233300382906682,2.4382862230164193,0.2811172035671995,0.0,-0.06976760710920393,1.0
ENSG00000163818,LZTFL1,0.012250549167646287,-0.7088663117076104,0.9531880483197823,0.009803735108963202,-0.05161180990541503,1.0,0.0,1.869336040283894,1.0,0.32397208163805363,5.065391976172432,0.4375248189609016
ENSG00000173585,CCR9,0.0022273725759356885,-1.3869382168202495,0.9079154038508712,0.004901867554481601,1.5858181107098765,1.0,0.0,3.869336040283894,1.0,0.0,5.287784397508879,1.0
ENSG00000163820,FYCO1,0.0378653337909067,-1.427580201317594,0.1583714486988052,0.09803735108963202,1.3151705207662077,0.35383367930486415,0.16692231652861575,2.0879763267592346,0.4336608356554327,0.0,1.4298034023813075,1.0
ENSG00000172215,CXCR6,0.0011136862879678442,-5.141825718983718,0.0007082693456849657,0.08333174842618721,5.340705612873345,0.0005256927771430726,0.0,1.621408526840309,1.0,0.0,3.039856884065294,1.0
ENSG00000183625,CCR3,0.0,-2.9719007175414056,0.6716899353178838,0.0,1.1707806114310326,1.0,0.05564077217620525,6.869336040283894,0.2811172035671995,0.0,6.287784397508879,1.0
ENSG00000163823,CCR1,0.0,-4.556863218262562,0.02089785809600575,0.024509337772408005,4.755743112152189,0.018387706310710215,0.0,3.284373539562738,1.0,0.0,4.702821896787723,1.0
ENSG00000121807,CCR2,0.004454745151871377,-4.042290045432803,1.1443123741310932e-05,0.09313548353515042,3.907746205597239,2.733897938284802e-05,0.05564077217620525,2.2843735395627376,0.7057937916588467,0.0,2.643928207734155,1.0
ENSG00000160791,CCR5,0.0,-4.971900717541406,0.016709235787758635,0.029411205326889605,3.9781355334886364,0.09068869268183534,0.05564077217620525,4.06198111822629,0.4160980438711761,0.0,4.287784397508879,1.0
ENSG00000121797,CCRL2,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000163827,LRRC2,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000178038,ALS2CL,0.06682117727807066,0.05194602441296281,1.0,0.034313072881371205,-0.9166822298193065,1.0,0.3894854052334368,2.7818731990335546,0.3047393825294663,0.0,1.058965707012999,1.0
ENSG00000181585,TMIE,0.0022273725759356885,-0.38693821682024954,1.0,0.0,0.5858181107098765,1.0,0.0,4.284373539562738,1.0,0.0,5.702821896787723,1.0
ENSG00000160799,CCDC12,0.3084911017670928,-0.2959031406666257,0.844195970222064,0.37254193414060166,0.2676421506836222,1.0,0.3338446330572315,0.19287518507724188,0.8908503707936818,0.6479441632761073,1.1178593960665677,1.0
ENSG00000160796,NBEAL2,0.051229569246520834,-2.198671579388427,0.0014985631811333358,0.19117283462478243,1.5385123959315203,0.1198441123344941,0.5564077217620526,2.820973018722495,0.2811172035671995,0.809930204095134,3.2877843975088794,0.8356275514177018
