Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000165516,KLHDC2,0.2822339252899678,-0.3393931405395667,0.8629182330784679,0.445126177409642,0.7538588228639582,0.6460818083327168,0.0,-1.0341436973784826,1.0
ENSG00000165525,NEMF,0.3602793194215988,-1.5731332395793223,0.3398067499679043,1.2240969878765156,1.7418463051619786,0.31133753362251243,0.6479441632761073,0.8954669747301195,1.0
ENSG00000282885,AL627171.2,0.08349042162918663,1.0842884531485293,1.0,0.0,-0.6698227708241369,1.0,0.0,0.7486255864008484,1.0
ENSG00000278002,AL627171.1,0.043560219980445194,-1.4251230145654503,0.6832540525604076,0.05564077217620525,1.2254798505091693,0.8834636369907684,0.16198604081902682,2.643928207734155,1.0
ENSG00000165527,ARF6,0.6470507676261963,-0.4345217125677001,0.7294515736164771,0.890252354819284,0.46695092109493574,0.6962442884129222,0.809930204095134,0.3609942444626563,1.0
ENSG00000214900,LINC01588,0.02813264207070419,-1.4548703579595026,0.9052719845015706,0.05564077217620525,1.8693360402838937,0.8127255161024676,0.0,2.243390278150426,1.0
ENSG00000100483,VCPKMT,0.09801049495600168,0.3133139668174243,1.0,0.05564077217620525,0.10115171550696767,1.0,0.0,0.5064246839842204,1.0
ENSG00000100485,SOS2,0.07169286205114939,-2.4548703579595026,0.302013439155618,0.5007669495858472,2.8693360402838946,0.2811172035671995,0.0,0.8120509665424818,1.0
ENSG00000087299,L2HGDH,0.013612568743889122,-1.4548703579595026,1.0,0.0,1.869336040283894,1.0,0.0,3.2877843975088794,1.0
ENSG00000125375,DMAC2L,0.13068065994133557,-0.8599237686657237,0.6701054987997394,0.16692231652861575,0.6696636954475297,0.8307352441339256,0.32397208163805363,1.6632935326010865,1.0
ENSG00000259071,AL359397.2,0.0009075045829259415,-5.454870357959502,0.34894708972365673,0.05564077217620525,5.869336040283894,0.3110199796086701,0.0,5.702821896787723,1.0
ENSG00000100490,CDKL1,0.014520073326815064,-2.9523700174303187,0.40365797528275726,0.1112815443524105,3.3668356997547106,0.35009268962370105,0.0,3.039856884065294,1.0
ENSG00000012983,MAP4K5,0.07350787121700127,-2.4192464482287814,0.302013439155618,0.3894854052334368,2.477018617505134,0.30954995811393377,0.32397208163805363,2.397013467263638,1.0
