Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000219481,NBPF1,0.1254403745282047,-2.1994846419762246,0.3110199796086701,0.5564077217620526,2.1994846419762246,0.3110199796086701
ENSG00000058453,CROCC,0.10197670735026713,-1.6214085268403085,0.4518190929306376,0.2782038608810263,1.6214085268403085,0.4518190929306376
ENSG00000238142,BX284668.5,0.07309834774665167,-0.5117840356658103,1.0,0.05564077217620525,0.5117840356658103,1.0
ENSG00000272426,BX284668.6,0.03609794950451934,-0.5117840356658103,1.0,0.0,0.5117840356658103,1.0
ENSG00000159363,ATP13A2,0.08753752754845939,-1.5765542910560484,0.4985268964005972,0.222563088704821,1.5765542910560484,0.4985268964005972
ENSG00000117118,SDHB,0.21478279955189006,1.0315307676968546,1.0,0.05564077217620525,-1.0315307676968546,1.0
ENSG00000159339,PADI4,0.043317539405423204,-1.2546261961686862,0.9614944719482896,0.05564077217620525,1.2546261961686862,0.9614944719482896
ENSG00000179051,RCC2,0.06046406542006989,-1.3668356997547106,0.7100258363847338,0.1112815443524105,1.3668356997547106,0.7100258363847338
ENSG00000159423,ALDH4A1,0.007219589900903867,-3.6994110388415815,0.4336126618245099,0.05564077217620525,3.6994110388415815,0.4336126618245099
ENSG00000169991,IFFO2,0.10017180987504117,-1.06198111822629,0.6991558732913588,0.16692231652861575,1.06198111822629,0.6991558732913588
ENSG00000127481,UBR4,0.13265996442910857,-2.4672375967125486,0.2811172035671995,0.7233300382906682,2.4672375967125486,0.2811172035671995
ENSG00000230424,EMC1-AS1,0.0045122436880649175,-3.284373539562738,1.0,0.0,3.284373539562738,1.0
ENSG00000127463,EMC1,0.043317539405423204,-2.254626196168686,0.42193670738853367,0.16692231652861575,2.254626196168686,0.4219367073885817
ENSG00000053372,MRTO4,0.13897710559239945,-1.1781741357308126,0.5624792777209756,0.2782038608810263,1.1781741357308126,0.5624792777209756
ENSG00000162482,AKR7A3,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000053371,AKR7A2,0.270734621283895,1.364283636475808,1.0,0.05564077217620525,-1.364283636475808,1.0
ENSG00000040487,SLC66A1,0.01804897475225967,-1.4770186175051343,1.0,0.0,1.4770186175051343,1.0
ENSG00000077549,CAPZB,1.640651804980404,0.7116662739240067,1.0,1.0015338991716944,-0.7116662739240067,1.0
